full_name_of_repo,commit_sha,path
4Catalyzer/graphql-validation-complexity,2f63af74b2683188abd0148a36d951605e719aa9,README.md
A3Wasteland/ArmA3_Wasteland.Altis,4b6da10c89bbf6a3f1387a6df50fa6780ba2e8a6,README.md
BedrockStreaming/RedisMock,1f65f22081c426c9c5f428c69640fb5af32fe511,README.md
BedrockStreaming/RedisMock,beb991d24425195ccf218aade225c6e27cb72288,README.md
BedrockStreaming/RedisMock,cfa7403367007900b7a9a9e5fb9eb1beb3b35a5d,README.md
BedrockStreaming/RedisMock,f71700dd6ffffdf9454d5ad5870a943079e75187,README.md
ChrisPenner/rasa,92c5ca7bee242649e8ab277bf8ac824f067a6cdf,README.md
CosmoCMS/Cosmo,9d5e5a292df07da225ff95129bd0ad69db53746c,README.md
DH-Box/dhbox,b696f8e6e71a9c6f76e88592422bb35625ecf1f4,README.md
Dan-in-CA/SIP,188bc6309ca93f110d6e8728293fb302d622650f,README.md
Dan-in-CA/SIP,7f90e85242059df0878500ba4377f59b7d23c967,README.md
Doozer-Framework/Doozr,2878c08b566d73249b9d7697c6e45b0d43430894,README.md
EragonJ/Trip.js,1c7311622a0150b8faced01c8a5944601b282cee,README.md
EragonJ/Trip.js,1ce8220c842ec7c45bd0b5ed48ae9d27cc186e34,README.md
EragonJ/Trip.js,5b38e7aabe697cab248ed1e784246bca40498e1f,README.md
Farama-Foundation/ViZDoom,3ded9f79fdaa2e145a9824c19dd14c6766dbb8df,README.md
Farama-Foundation/ViZDoom,941b88a0eb78f844fd3df0034092151d26aea72e,README.md
Farama-Foundation/ViZDoom,9fb7ef269376a526310ccf33a0ce906a94f4fe53,README.md
ForgeRock/forgeops,9aedc8b7e2b53f217e903fe79a150a3c27da03bf,README.md
ForgeRock/forgeops,b8ab95c460aaeb2551077e2cc268e09f8ea5b261,README.md
GordonLesti/Lesti_Fpc,5b33fa3bb9847c750300fb33aea99f37f17ff359,README.md
HearthSim/SabberStone,6d04430d4a2ab4f62c7cf38b00ff3e7579a3dc03,README.md
HumanDynamics/openPDS,da408f3de451dea28d1ae7d15a0cec328d0cb3e3,README.md
JessYanCoding/MVPArms,2c559a9c0f963c6002aa8d547804ec20d205a12e,README.md
JessYanCoding/MVPArms,6e35191f7e52d0a626c7a644f247327c1e6966aa,README.md
JessYanCoding/MVPArms,7f7ca94d7a3e233e2af56d9460dde57c61a73d51,README.md
KartikTalwar/gmail.js,83d57e2db20a2ac69def44702d89b6368a8982a7,CONTRIBUTING.md
KartikTalwar/gmail.js,8baa2b496218450cbffc819618115a4fd0659a8a,README.md
KartikTalwar/gmail.js,9272d49a3513691211f0c36304a1d291071dda56,README.md
KartikTalwar/gmail.js,b3fb52ce2e7b73773ed1b2c688bd40585f0033a0,README.md
KartikTalwar/gmail.js,bf7151925020df2ab21b1e255da5ee6c8a9981a0,README.md
KartikTalwar/gmail.js,d5e36750bc97778ed938092442368d6c8f70e228,README.md
Kitura/Kitura,15240436a3fbdd4742809756ef7f59ff59387811,README.md
Kitura/Kitura,41aa630536277be928adbdf5654c84125c5030f3,README.md
Kitura/Kitura,d97696deb3461e3e3837f5688815691b287a2d9a,README.md
MKFirmware/MK4duo,18817ad70eabb06185518faa91e35e6e51be53b2,README.md
MKFirmware/MK4duo,2d146c8f727174cd5ab136e938bc923f39f6da0b,README.md
MKFirmware/MK4duo,70a82606e06415c84fa951edb32af850a07588e3,README.md
MKFirmware/MK4duo,9d02ad21c53a55a0b66c0e9962363c4a80670ce6,README.md
MaslowCNC/GroundControl,761f1d82ce180b8eef6f1c185139bf6f5dfe5938,README.md
MisterPhilip/omnibug,d105f447b5b816af49ab932b9de074ccdff68ae6,README.md
MyEssentials/MyTown2-Protections,646b0a2aaeddfedb914058a47919cd4390be0636,README.md
Nagarei/DxLibEx,661abca36ada8e7822beb3d61b71b9e03d752a93,README.md
OpenEnergyPlatform/oeplatform,57d4c2d093669b3a22b4c5fdcdec895a6c0a733c,README.md
OpenEnergyPlatform/oeplatform,8290021a467f227a1065f2ed6e07a6c2a7c7dab6,README.md
OpenEnergyPlatform/oeplatform,c2a41117961b18f492268b7d39dc913c70dee404,README.md
OpenEnergyPlatform/oeplatform,db4847b5a8204bdf1ea16c434c3340affb7ff973,README.md
Pushwoosh/pushwoosh-phonegap-plugin,210625d722b6cdb25fb5c3d88e7c8776c56ddae3,README.md
Pushwoosh/pushwoosh-phonegap-plugin,59bbd7371b093edebb6e915a7db51c2ac45ce5cb,README.md
Pushwoosh/pushwoosh-phonegap-plugin,914ef9cc65d90337c71d3ab3f0272152c408360a,README.md
QuickBox/QB,cf9959f59fa034afb2c95a400516fd9ed90e968e,README.md
ROCm/MIOpen,768ba03b6e1f270b5b58f515496bd990eedf7b49,README.md
Raku/atom-language,287676639398e17ee0861bca96e508368a55bb43,README.md
Raku/atom-language,c13f2b136bf43714603623d2ac5d06aa0414a5f5,README.md
Raku/atom-language,eafe93c9a446e1aa1fea325840f1229dffdfa795,README.md
RustAudio/rust-jack,251f6353f76637054f6ae14db3857378c06e0df0,README.md
STMicroelectronics-CentralLabs/ST_Drone_FCU_F401,bf1a246a0f30b73c8977491b72583b2343243ab0,README.md
SandersForPresident/BernieBNB,582189d427060fcbd242b552acddd5047692c224,README.md
SandersForPresident/BernieBNB,83952958daf5492a68911ee10478e256ef5a90ca,README.md
SciRuby/daru,497f6020ad89e65bac9cc599df78686317683c2d,README.md
SciRuby/daru,600167a4ffacd440c215c569ed3339b1024e584f,README.md
SciRuby/daru,f763be0af5e105a69cd2a273f1ebf728d4377dfa,README.md
SciTools/iris,69131ca3b8bf936517f4eff07383e171a30c7647,README.md
Screenly/Anthias,acc5319eee9f0dc79319354b3659a704565143d7,README.md
SpectoLabs/hoverfly,f776b82f684e33cc36cd5389abe271ab07dae95a,readme.md
TeleMidia/ginga,4716ed6694405d7b63945fdf0b86296ac18f7b1e,README.md
